id,created,updated,title,tab_title,tab_number,tab_type,tableau_url,location_id,aplus_date_range,aplus_site,aplus_area,rems_site,rems_fleet_type,rems_date_range
203,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Diggers FLOC DT Pareto,CC Diggers FLOC DT Pareto,1,2,,41,,,,Christmas Creek,Excavator,30 Days
209,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Dozers FLOC DT Pareto,CC Dozers FLOC DT Pareto,3,2,,42,,,,Christmas Creek,Dozer,30 Days
204,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Drills FLOC DT Pareto,CC Drills FLOC DT Pareto,2,2,,41,,,,Christmas Creek,Drills,30 Days
238,2022-09-19 11:55:00.000 +0800,2022-09-19 11:55:00.000 +0800,CC FP Actions Report,CC FP Actions Report,15,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/2f047818-44b1-4e92-8ac0-6c1a713b0125/CCFPActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
237,2022-09-19 11:55:00.000 +0800,2022-09-19 11:55:00.000 +0800,CC FP Idlers,CC FP Idlers,14,1,https://analytics.fmgl.com.au/t/sandbox/views/CCFPIdlers/CCFPIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,35,,,,,,
239,2022-09-19 11:55:00.000 +0800,2022-09-19 11:55:00.000 +0800,CC FP Investigations Report,CC FP Investigations Report,16,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/bc517e5d-499e-4223-ab4c-5b17d5b810c5/CCFPInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,35,,,,,,
236,2022-09-19 11:55:00.000 +0800,2022-09-19 11:55:00.000 +0800,CC FP Watchlist,CC FP Watchlist,13,1,https://analytics.fmgl.com.au/t/sandbox/views/CCFPWatchlist/CCFPWatchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,35,,,,,,
207,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Graders FLOC DT Pareto,CC Graders FLOC DT Pareto,1,2,,42,,,,Christmas Creek,Grader,30 Days
200,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC Haul Truck FLOC DT Pareto,CC Haul Truck FLOC DT Pareto,1,2,,40,,,,Christmas Creek,Haul Truck,30 Days
210,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Ancilliary Actions Report,CC HME Ancilliary Actions Report,4,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/76932813-caa3-42bb-99cc-e6508432a772/CCHMEAncilActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,42,,,,,,
211,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Ancilliary Investigations Report,CC HME Ancilliary Investigations Report,5,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/52455375-c9ed-4737-810d-406f21f138e5/CCHMEAncilInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,42,,,,,,
205,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Diggers and Drills Actions Report,CC HME Diggers and Drills Actions Report,3,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/051875b2-93d9-41fb-b397-8a31f580f09c/CCHMEDDActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,41,,,,,,
206,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Diggers and Drills Investigations Report,CC HME Diggers and Drills Investigations Report,4,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/InvestigationTracker/3e5155bb-3bd9-425f-900b-2b24911d965c/CCHMEDDInvestigationTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,41,,,,,,
201,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,CC HME Trucks Actions Report,CC HME Trucks Actions Report,2,1,https://analytics.fmgl.com.au/t/sandbox/views/InvestigationandActiontracker/ActionTracker/7e38a34a-585e-4abc-becf-56dc0394d74e/CCHMETrucksActionTracker?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,40,,,,,,
